version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381595378673 eni-0d980d3f64652efdc 194.147.140.18 172.31.35.177 51644 56732 6 1 40 1615904139 1615904151 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 182.214.163.87 172.31.35.177 29386 23 6 1 40 1615904139 1615904151 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.61 172.31.35.177 41027 17338 6 1 40 1615904139 1615904151 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.150 172.31.35.177 55294 21946 6 1 40 1615904139 1615904151 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.21 172.31.35.177 45349 43216 6 1 40 1615904139 1615904151 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904116 1615904128 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904131 1615904148 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904156 1615904176 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904121 1615904138 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904118 1615904135 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904141 1615904158 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904149 1615904166 - NODATA
2 381595378673 eni-0e42c2156f4df939e 162.142.125.150 172.31.36.70 14027 6036 6 1 44 1615904167 1615904179 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 192.241.221.59 172.31.36.70 47908 2000 6 1 40 1615904167 1615904179 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904175 1615904188 - NODATA
2 381595378673 eni-0d980d3f64652efdc 162.142.125.149 172.31.35.177 16310 10035 6 1 44 1615904163 1615904179 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 157.230.29.28 172.31.35.177 39540 8088 6 1 40 1615904163 1615904179 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.152 172.31.35.177 56301 46755 6 1 40 1615904163 1615904179 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 162.142.125.85 172.31.35.177 53611 18081 6 1 44 1615904163 1615904179 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.150 172.31.36.70 59023 21305 6 1 44 1615904136 1615904139 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 194.147.140.78 172.31.36.70 44102 59598 6 1 40 1615904136 1615904139 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904177 1615904194 - NODATA
2 381595378673 eni-0e42c2156f4df939e 157.230.29.28 172.31.36.70 49096 8088 6 1 40 1615904146 1615904160 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 74.120.14.26 172.31.36.70 23638 5900 6 1 44 1615904146 1615904160 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.153 172.31.36.70 56403 18010 6 1 44 1615904146 1615904160 REJECT OK
2 381595378673 eni-06a13c69853a4c859 89.248.165.199 172.31.46.200 58479 18086 6 1 40 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 195.54.160.155 172.31.46.200 45912 8965 6 1 40 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 186.158.11.43 172.31.46.200 39287 445 6 1 52 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 157.230.29.28 172.31.46.200 51116 8088 6 1 40 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 162.142.125.150 172.31.46.200 29072 60000 6 1 44 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 139.162.112.248 172.31.46.200 38938 8080 6 1 40 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 162.142.125.153 172.31.46.200 45621 12506 6 1 44 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 185.156.73.57 172.31.46.200 45925 51274 6 1 40 1615904136 1615904183 REJECT OK
2 381595378673 eni-06a13c69853a4c859 194.147.140.92 172.31.46.200 59930 8785 6 1 40 1615904136 1615904183 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.61 172.31.46.126 41027 17207 6 1 40 1615904158 1615904170 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 45.155.205.162 172.31.46.126 42271 3563 6 1 40 1615904158 1615904170 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 87.251.70.85 172.31.46.126 41318 3389 6 1 40 1615904158 1615904170 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.117 172.31.46.126 59185 59639 6 1 40 1615904158 1615904170 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.159 172.31.46.126 30946 9003 6 1 44 1615904158 1615904170 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 43.247.70.234 172.31.35.177 58091 1433 6 1 48 1615904151 1615904163 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.20 172.31.88.246 50733 27664 6 1 40 1615904153 1615904168 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 188.124.36.63 172.31.88.246 54299 7708 6 1 40 1615904153 1615904168 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.153 172.31.88.246 5598 5900 6 1 44 1615904153 1615904168 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 101.95.144.205 172.31.46.126 0 0 1 1 34 1615904197 1615904198 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 3.35.26.245 172.31.36.70 54664 27018 6 1 40 1615904193 1615904195 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.118 172.31.35.177 41345 59625 6 1 40 1615904203 1615904219 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 194.147.140.94 172.31.36.70 43180 15175 6 1 40 1615904207 1615904224 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904181 1615904198 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904196 1615904212 - NODATA
2 381595378673 eni-0d980d3f64652efdc 192.241.221.47 172.31.35.177 38822 8983 6 1 40 1615904219 1615904230 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.127 172.31.35.177 52190 16186 6 1 40 1615904219 1615904230 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904177 1615904197 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904219 1615904240 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904177 1615904195 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904213 1615904225 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904217 1615904230 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904116 1615904137 - NODATA
2 381595378673 eni-029b89b341a2c9965 162.142.125.159 172.31.24.130 20549 9303 6 1 44 1615904167 1615904227 REJECT OK
2 381595378673 eni-029b89b341a2c9965 64.188.17.122 172.31.24.130 51251 5060 17 1 406 1615904167 1615904227 REJECT OK
2 381595378673 eni-029b89b341a2c9965 172.105.96.211 172.31.24.130 35116 2123 6 1 40 1615904167 1615904227 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 93.191.40.39 172.31.88.246 2548 1433 6 2 96 1615904231 1615904249 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.149 172.31.88.246 52107 2020 6 1 44 1615904231 1615904249 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 157.230.29.28 172.31.88.246 48586 8088 6 1 40 1615904231 1615904249 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904238 1615904255 - NODATA
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.149 172.31.46.126 31396 8283 6 1 44 1615904213 1615904222 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.114 172.31.46.126 58585 59647 6 1 40 1615904213 1615904222 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.148 172.31.88.246 50719 12255 6 1 44 1615904215 1615904228 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.145 172.31.88.246 64642 12151 6 1 44 1615904215 1615904228 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 89.248.168.220 172.31.46.126 46829 3049 6 1 40 1615904201 1615904211 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 45.146.165.148 172.31.46.126 42096 3024 6 1 40 1615904201 1615904211 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.157 172.31.36.70 44217 12217 6 1 44 1615904262 1615904263 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 185.236.11.6 172.31.46.126 40984 18042 6 1 40 1615904179 1615904182 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.29 172.31.88.246 44049 958 6 1 40 1615904198 1615904214 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 185.167.96.236 172.31.88.246 52770 8094 6 1 40 1615904198 1615904214 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.147 172.31.88.246 60814 18066 6 1 44 1615904198 1615904214 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 64.188.17.122 172.31.88.246 42374 5060 17 1 417 1615904198 1615904214 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.155 172.31.46.126 6551 12221 6 1 44 1615904237 1615904237 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904241 1615904258 - NODATA
2 381595378673 eni-0fa75ad283bd57e69 157.230.226.7 172.31.46.126 51225 5050 6 1 40 1615904254 1615904264 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 104.206.128.70 172.31.46.126 52883 401 6 1 44 1615904254 1615904264 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904180 1615904201 - NODATA
2 381595378673 eni-003fe47d48ed8c89f 92.118.161.5 172.31.88.246 54694 82 6 1 44 1615904252 1615904269 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904215 1615904236 - NODATA
2 381595378673 eni-0d980d3f64652efdc 162.142.125.159 172.31.35.177 38758 9383 6 1 44 1615904255 1615904271 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 194.147.140.115 172.31.36.70 42603 59609 6 1 40 1615904275 1615904282 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 77.247.108.77 172.31.36.70 42768 5160 6 1 40 1615904275 1615904282 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.159 172.31.36.70 65163 12249 6 1 44 1615904275 1615904282 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904236 1615904257 - NODATA
2 381595378673 eni-0d980d3f64652efdc 194.147.140.45 172.31.35.177 40808 20039 6 1 40 1615904271 1615904283 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904277 1615904290 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904248 1615904268 - NODATA
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.123 172.31.46.126 49440 28684 6 1 40 1615904291 1615904291 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.25 172.31.46.126 28926 9200 6 1 44 1615904295 1615904306 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 92.204.169.5 172.31.46.126 52501 445 6 1 52 1615904295 1615904306 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 74.120.14.73 172.31.46.126 51382 8148 6 1 44 1615904295 1615904306 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.23 172.31.46.126 44332 5902 6 1 44 1615904295 1615904306 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 2.57.122.26 172.31.46.126 58425 110 6 1 40 1615904295 1615904306 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 45.79.176.22 172.31.36.70 61000 143 6 1 40 1615904285 1615904304 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 194.147.140.48 172.31.36.70 40784 20448 6 1 40 1615904285 1615904304 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904269 1615904278 - NODATA
2 381595378673 eni-0fa75ad283bd57e69 45.79.177.113 172.31.46.126 61000 143 6 1 40 1615904240 1615904254 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.144 172.31.46.126 23836 12316 6 1 44 1615904240 1615904254 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.121 172.31.46.126 59414 3387 6 1 40 1615904240 1615904254 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 183.105.157.161 172.31.88.246 7557 23 6 1 40 1615904272 1615904287 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.24 172.31.88.246 43842 13071 6 1 40 1615904272 1615904287 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.98 172.31.88.246 41127 21408 6 1 40 1615904272 1615904287 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904300 1615904313 - NODATA
2 381595378673 eni-030925da723776217 162.142.125.152 172.31.84.222 60395 9217 6 1 44 1615904070 1615904129 REJECT OK
2 381595378673 eni-030925da723776217 162.142.125.159 172.31.84.222 38428 8222 6 1 44 1615904070 1615904129 REJECT OK
2 381595378673 eni-030925da723776217 185.236.11.30 172.31.84.222 50157 3941 6 1 40 1615904070 1615904129 REJECT OK
2 381595378673 eni-030925da723776217 58.48.124.250 172.31.84.222 62223 23 6 1 60 1615904070 1615904129 REJECT OK
2 381595378673 eni-030925da723776217 89.248.165.53 172.31.84.222 57585 3379 6 1 40 1615904130 1615904189 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.62 172.31.84.222 41006 17677 6 1 40 1615904130 1615904189 REJECT OK
2 381595378673 eni-030925da723776217 162.142.125.154 172.31.84.222 6032 9138 6 1 44 1615904130 1615904189 REJECT OK
2 381595378673 eni-030925da723776217 186.92.111.248 172.31.84.222 57878 445 6 2 104 1615904130 1615904189 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.26 172.31.84.222 56329 418 6 1 40 1615904130 1615904189 REJECT OK
2 381595378673 eni-030925da723776217 192.241.228.173 172.31.84.222 48006 2000 6 1 40 1615904130 1615904189 REJECT OK
2 381595378673 eni-030925da723776217 139.162.145.250 172.31.84.222 37153 3389 6 1 40 1615904130 1615904189 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.125 172.31.84.222 51787 13389 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.17 172.31.84.222 59307 59635 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.18 172.31.84.222 51644 56719 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 157.230.29.28 172.31.84.222 52658 8088 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 5.154.3.65 172.31.84.222 46221 445 6 1 52 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 69.164.209.73 172.31.84.222 61000 110 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.60 172.31.84.222 41081 20664 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.112 172.31.84.222 58526 59651 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 49.175.155.83 172.31.84.222 16870 23 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 89.20.181.103 172.31.84.222 3691 445 6 1 52 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 64.188.17.122 172.31.84.222 54266 5060 17 1 408 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 120.77.47.234 172.31.84.222 13832 8080 6 1 40 1615904190 1615904249 REJECT OK
2 381595378673 eni-030925da723776217 81.163.144.96 172.31.84.222 58249 445 6 1 52 1615904250 1615904309 REJECT OK
2 381595378673 eni-030925da723776217 185.236.11.5 172.31.84.222 43696 3804 6 1 40 1615904250 1615904309 REJECT OK
2 381595378673 eni-030925da723776217 162.142.125.147 172.31.84.222 16266 4444 6 1 44 1615904250 1615904309 REJECT OK
2 381595378673 eni-030925da723776217 5.188.119.205 172.31.84.222 58820 3684 6 1 40 1615904250 1615904309 REJECT OK
2 381595378673 eni-030925da723776217 162.243.42.225 172.31.84.222 59100 3099 6 1 40 1615904250 1615904309 REJECT OK
2 381595378673 eni-030925da723776217 162.142.125.149 172.31.84.222 62267 52931 6 1 44 1615904250 1615904309 REJECT OK
2 381595378673 eni-030925da723776217 194.147.140.60 172.31.84.222 41081 20821 6 1 40 1615904250 1615904309 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904275 1615904296 - NODATA
2 381595378673 eni-0d980d3f64652efdc 162.142.125.156 172.31.35.177 59624 21269 6 1 44 1615904283 1615904295 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 162.142.125.144 172.31.35.177 63772 21257 6 1 44 1615904283 1615904295 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 185.156.73.67 172.31.35.177 57718 33522 6 1 40 1615904230 1615904243 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 77.74.196.3 172.31.36.70 43110 1433 6 1 40 1615904313 1615904318 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 194.147.140.150 172.31.36.70 55294 21996 6 1 40 1615904313 1615904318 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.20 172.31.46.126 50733 27564 6 1 40 1615904278 1615904281 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 45.79.187.210 172.31.88.246 61000 448 6 1 40 1615904319 1615904334 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 128.14.209.253 172.31.88.246 32932 8009 6 1 40 1615904302 1615904318 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.92 172.31.88.246 59930 8816 6 1 40 1615904302 1615904318 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904312 1615904332 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904297 1615904314 - NODATA
2 381595378673 eni-0d980d3f64652efdc 167.71.234.134 172.31.35.177 45879 9620 6 1 40 1615904307 1615904323 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 198.74.60.183 172.31.35.177 61000 443 6 1 40 1615904307 1615904323 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.146 172.31.46.126 10290 12388 6 1 44 1615904330 1615904331 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904287 1615904304 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904240 1615904253 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904238 1615904254 - NODATA
2 381595378673 eni-0e42c2156f4df939e 162.142.125.156 172.31.36.70 22700 12389 6 1 44 1615904327 1615904339 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 186.94.43.154 172.31.36.70 53058 445 6 1 52 1615904327 1615904339 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 51.15.155.137 172.31.36.70 59803 443 6 1 40 1615904327 1615904339 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.146 172.31.46.126 65530 9108 6 1 44 1615904338 1615904351 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.153 172.31.46.126 37933 12136 6 1 44 1615904338 1615904351 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 194.147.140.103 172.31.46.126 57551 4642 6 1 40 1615904338 1615904351 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904299 1615904315 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904329 1615904341 - NODATA
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904296 1615904317 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904300 1615904318 - NODATA
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904337 1615904350 - NODATA
2 381595378673 eni-0d980d3f64652efdc 194.147.140.19 172.31.35.177 41945 59620 6 1 40 1615904339 1615904351 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.89 172.31.35.177 58402 3486 6 1 40 1615904339 1615904351 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.78 172.31.88.246 44102 59599 6 1 40 1615904351 1615904369 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 194.147.140.19 172.31.88.246 41945 59619 6 1 40 1615904351 1615904369 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.158 172.31.88.246 62123 36505 6 1 44 1615904351 1615904369 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904355 1615904376 - NODATA
2 381595378673 eni-0e42c2156f4df939e 162.142.125.146 172.31.36.70 41642 3500 6 1 44 1615904352 1615904366 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.154 172.31.36.70 28746 12414 6 1 44 1615904352 1615904366 REJECT OK
2 381595378673 eni-0e42c2156f4df939e 162.142.125.154 172.31.36.70 29026 4444 6 1 44 1615904352 1615904366 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904357 1615904375 - NODATA
2 381595378673 eni-0d980d3f64652efdc 194.147.140.60 172.31.35.177 41081 20916 6 1 40 1615904323 1615904339 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.48.199.78 172.31.35.177 42307 8282 6 1 40 1615904323 1615904339 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904356 1615904374 - NODATA
2 381595378673 eni-0d980d3f64652efdc 106.251.120.251 172.31.35.177 33027 23 6 1 40 1615904295 1615904307 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 91.243.45.115 172.31.35.177 44164 44444 6 1 40 1615904295 1615904307 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.98 172.31.35.177 41127 21377 6 1 40 1615904295 1615904307 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 176.58.103.104 172.31.46.126 37067 1900 17 1 125 1615904306 1615904313 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 162.142.125.152 172.31.46.126 48687 8009 6 1 44 1615904306 1615904313 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 62.149.99.113 172.31.46.126 62499 445 6 1 52 1615904306 1615904313 REJECT OK
2 381595378673 eni-0b996ea0c10443a5a - - - - - - - 1615904356 1615904377 - NODATA
2 381595378673 eni-003fe47d48ed8c89f 162.142.125.149 172.31.88.246 21511 8090 6 1 44 1615904372 1615904386 REJECT OK
2 381595378673 eni-003fe47d48ed8c89f 45.55.32.34 172.31.88.246 53118 25193 6 1 40 1615904372 1615904386 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 167.248.133.27 172.31.46.126 58418 2083 6 1 44 1615904360 1615904368 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 185.156.73.57 172.31.46.126 45925 65040 6 1 40 1615904360 1615904368 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 161.35.236.158 172.31.35.177 55846 443 6 4 240 1615904351 1615904363 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 173.208.218.83 172.31.46.126 52626 20999 6 1 40 1615904389 1615904390 REJECT OK
2 381595378673 eni-0fa75ad283bd57e69 205.185.116.113 172.31.46.126 60750 11211 6 1 44 1615904389 1615904390 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 162.142.125.147 172.31.35.177 48401 12351 6 1 44 1615904363 1615904379 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 194.147.140.30 172.31.35.177 44096 782 6 1 40 1615904363 1615904379 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 162.142.125.157 172.31.35.177 59541 7776 6 1 44 1615904363 1615904379 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 220.135.26.176 172.31.35.177 53850 23 6 1 40 1615904363 1615904379 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 128.199.87.139 172.31.35.177 51671 8088 6 1 40 1615904363 1615904379 REJECT OK
2 381595378673 eni-0d980d3f64652efdc 185.236.11.30 172.31.35.177 50157 3950 6 1 40 1615904363 1615904379 REJECT OK
2 381595378673 eni-06418fbbac6c3100b - - - - - - - 1615904381 1615904398 - NODATA
2 381595378673 eni-03f4c21a9b34126ba 171.237.27.140 172.31.50.209 63775 445 6 1 52 1615904342 1615904398 REJECT OK
2 381595378673 eni-03f4c21a9b34126ba 45.79.159.175 172.31.50.209 61000 448 6 1 40 1615904342 1615904398 REJECT OK
2 381595378673 eni-03f4c21a9b34126ba 142.93.106.212 172.31.50.209 1434 1434 17 1 35 1615904342 1615904398 REJECT OK
2 381595378673 eni-03f4c21a9b34126ba 194.147.140.45 172.31.50.209 40808 19988 6 1 40 1615904342 1615904398 REJECT OK
2 381595378673 eni-03f4c21a9b34126ba 89.248.165.53 172.31.50.209 57585 3340 6 1 40 1615904342 1615904398 REJECT OK
2 381595378673 eni-03f4c21a9b34126ba 135.148.52.177 172.31.50.209 30120 34613 6 1 40 1615904342 1615904398 REJECT OK
2 381595378673 eni-03f4c21a9b34126ba 193.27.229.86 172.31.50.209 53424 8081 6 1 40 1615904342 1615904398 REJECT OK
